palabras,significado
facc,facebook 
mermelera,malo 
por la ptm,mierda
de la ptm,de lo mejor
mrd,mierda
qué piña,qué mala suerte
que piña,que mala suerte
jatear,dormir
papaya,facil
chamba,trabajo
chela,cerveza
misio,pobre
que palta,que vergüenza
causa,amigo
chibolo,niño
chihuan,pobre
chochera,amigo
vizcarrata,presidente corrupto
choro,delincuente
rata,delincuente
cana,cárcel
aguja,pobre
chongo,alegria
gym,gimnasio
xq,por que
ptmr,mierda
ctm,mierda
haci,asi
bim,bien
webada,tonteria
figureti,llamar la atencion
roba,delincuencia
aceitar,sobornar
amix,amigo
ayayero,aduladora
asu,asombro
asu mare,asombro
asu mare,asombro
aceitar,sobornar
pulpin,principiante
pulsear,tantear
pendejo,aprovechador
pucha,olvido
putamadre,queja
asado,enojado
arrugar,acobardarse
bamba,falsa
cachina,informal
carajo,reprende
chance,oportunidad
chancha,juntar dinero
chilindrina,cerveza
chotear,ignorar
cole,colegio
nido,jardin
cranear,esforzarse intelectualmente
engañamuchachos,negativo
enyucar,estafar
entripado,escondida
espeso,fastidio
xd,burla
floro,hablar engañoso
huevón,tonto
huevear,perder el tiempo
huevada,carente de mucho interés
hipocresia,negativo
lenteja,lento
me jalo,me voy
nica,no
ratonear,temor
rosquete,homosexual
soplon,denunciante 
corrupta,negativa
corrupto ,negativo
huevada, mierda 
borregos,fanaticos tontos
cdtmd,mierda
ctmr,mierda
repartija,robo
yuca,dificil
como cancha,abundante de
info,informacion
aser,hacer
fujitroll,seguidor de fujimoristas
tombo,policia
cana,carcel
prensabasura,prensa sobornada
prensa basura,prensa sobornada
ptmr,mierda
ptm,mierda
jods,joder
vizcalovers,seguidor de vizcarra
feminazi,peyorativo a los feministas
webas,mierda
ampay,descubrir a alguien
esta asado,esta molesto
alucina que,imagina que
barrunto,pertenece al barrio
bateria,grupo de amigos
gracielas,gracias
pichanguita,partido de futbol
muy pilas,mucha energia
porfis,por favor
mosca,vivo
porfa,por favor
los rotos,chilenos peyorativo
sangran,aprovecharse de alguien
muy sapo,muy curioso
solano,solitario
trampa,amante
ya'pe,ya pues
taba,zapato
serrucho,quitar el lugar de alguien
sevillano,ceviche
salado,mala suerte
viscarrata,presidente ladron
confiep,grandes empresarios
rojos,comunistas
vizcarratismo,seguidores de presidente vizcarra
lorna,tonto
limonta,lima
puta,prostituta
pta,prostituta
care,cara
mjr ,mejor
veneco,venezolano peyorativo
lompa,pantalon
luca,un sol
jerma,enamorada
jale,atractivo
huayco,vómito
guata,barriga
huachafo,mal gusto de vestir
manyas,entiendes
ficho,lujo
machucante,amante
mechar,pelearse
mesopotamia,mesa
ni michi,ni mierda
pavo,tonto
pendéivis,pendejo
pepear,robar
polvo,relaciones sexuales
punche,fuerza
recurseo,salir de apuros economicos
troncho,marihuana
tranca,dificil
telo,hotel
tolaca,calato
tono,fiesta
vaina,embrollo
yapa,extra
yunaites,estados unidos
pe',pues
pájaro,pene
full,lleno
conchán,conchudo
costilla,pareja
culantro,culo
cutra,robar
corcho,tonto
puto,imbecil
cagón ,imbecil
hijo de puta,disgusto malsonante
hdp,disgusto malsonante
conchadetumare,rabia malsonante
conchasumare,rabia malsonante
chucha,mierda
la puta madre,mierda
ctm,mierda
de la pm,genial
chevere,genial
pelele,de poco caracter
cabro,cobarde
canada,carcel
canchis,acto sexual
cache,acto sexual
cachaco,militar
bobo,corazon
bacán,genial
arrochar,avergonzar
arrecho ,excitado
afanar,pretender
achorarse,molestarse
cachar,sexo
chapar,besar
chapa,apodo
chancón,estudioso
chance,oportunidad
china,cincuenta centimos moneda
chuculún,sexo
pucha,mierda
cool,genial
gallina,cobarde
helenas,cervezas
lechero,suertudo
levantar,atracar
monse,tonto
oe,oye
pajero,masturbacion
pachamanquearse ,junto a una persona
terruco,comunistas peyorativo
vendido,corrupto peyorativo
kgon,imbecil peyorativo
caviar,comunista hipocrita
mermelero,sobornado
pdte,presidente
conchatuma,rabia malsonante
hijoepu,maldito rabia
terronica ,comunista peyorativo
zurdos ,comunistas peyorativo
rojasnos,terrucos comunista peyorativo
fujiasnos,fujimoristas tontos peyorativo
burresti ,politico urresti peyorativo
caviarada,grupo comunistas
chavista,comunista peyorativo
politiquera,politico peyorativo
esta en nada,esta feo
me cage de risa,muy chistoso
csmr ,mierda
huevona,tonta
vale verga,mierda
tmre,mierda
webon ,tonto
pinga,pene
terruquita,comunista
rojete,comunista peyorativo
ultraroja,comunista exceso
humalismo ,seguidores peyorativo
ratalan,politico ladron peyorativo
ppk,politico peruano
covidiotas,peyorativo virus personas
calabacita,tonta
fujidiario,prensa sobornada
vacilon,diversion
proaborto ,a favor del aborto
pendex,vivo
conchann,conchudo
pro-fujimorista,politico fujimorista exceso
pitufeo,modalidad de crimen 
cuellos blancos,organizacion criminal
